authors,year,title,publication,links
"Drew T, Horowitz T, Wolfe J & Vogel E",2010,Neural measures of interhemispheric information transfer during attentive tracking,,[Link](https://doi.org/10.1167/10.7.302)
"Vogel E, Ikkai A & Perez V",2010,Do perceptually challenging objects consume more working memory capacity,,[Link](https://doi.org/10.1167/6.6.34)
"McCollough A, Drew T, Horowitz T & Vogel E",2010,Probing the allocation of attention during multiple object tracking with ERPs,,[Link](https://doi.org/10.1167/8.6.222)
"Drew T, Horowitz T, Wolfe J & Vogel E",2010,Online measurement of dynamic changes in tracking load,,[Link](https://doi.org/10.1167/8.6.499)
"Drew T, Horowitz T, Wolfe J & Vogel E",2010,Neural measures of maintaining and updating object information,,[Link](https://doi.org/10.1167/9.8.172)
"Luck S, Vogel E, Woodman GF & Hyun J",2010,Toward an embedded process metatheory of selective attention,,[Link](https://doi.org/10.1167/3.9.40)
McCollough A & Vogel E,2010,Visual chunking allows efficient allocation of memory capacity,,[Link](https://doi.org/10.1167/7.9.861)
Vogel E & Luck S,2010,Quartering the spotlight: Spatial properties of selective storage in visual working memory,,[Link](https://doi.org/10.1167/1.3.9)
Vogel E & Fukuda K,2009,In mind and out of phase,<i>Proceedings of the National Academy of Sciences of the United States of America</i>,[Link](https://doi.org/10.1073/pnas.0912084107)
Mayr U & Awh E,2008,The elusive link between conflict and conflict adaptation,<i>Psychological Research</i>,[Link](https://doi.org/10.1007/s00426-008-0191-1)
Woodman GF & Vogel E,2008,Selective storage and maintenance of an object’s features in visual working memory,<i>Psychonomic Bulletin & Review</i>,[Link](https://doi.org/10.3758/PBR.15.1.223)
McCollough A & Vogel E,2008,Your Inner Spam Filter,,[Link](https://doi.org/10.1038/SCIENTIFICAMERICANMIND0608-74)
Ester EF & Awh E,2007,The locus of processing interference produced by salient visual distractors,,[Link](https://doi.org/10.1167/7.9.435)
"Drew T, Horowitz T & Vogel E",2007,Neural evidence for persistent representation of tracked objects during occlusion,,[Link](https://doi.org/10.1167/7.9.578)
"Mayr U, Awh E, Keele S & Schmidt JP",2006,A Tribute to Michael Posner Deserving of a Wide Readership,,[Link](https://doi.org/10.1037/05165821)
"Drew T, McCollough A & Vogel E",2006,Event-Related Potential Measures of Visual Working Memory,<i>Clinical EEG and Neuroscience</i>,[Link](https://doi.org/10.1177/155005940603700405) \| [PDF](/files/pdfs/drew_2006_ERP-vwm.pdf)
"Mayr U, Awh E & Keele S",2005,Developing individuality in the human brain : a tribute to Michael I. Posner,,[Link](https://doi.org/10.1037/11108-000)
"Vogel E, McCollough A & Machizawa MG",2005,Neural measures reveal individual differences in controlling access to working memory,<i>Nature</i>,[Link](https://doi.org/10.1038/nature04171) \| [PDF](/files/pdfs/vogel_2005_neural-measures-indv-differences.pdf)
Woodman GF & Vogel E,2005,Fractionating Working Memory,<i>Psychology Science</i>,[Link](https://doi.org/10.1111/j.0956-7976.2005.00790.x) \| [PDF](/files/pdfs/woodman_2005_fractionating-wm.pdf)
